Method,Model,Acc_mean,Acc_std,F1_mean,F1_std,Prec_mean,Rec_mean
5-Fold,SVM (Linear),36.63,2.84,36.77,2.77,37.26,36.63
5-Fold,SVM (RBF),38.26,1.11,38.24,0.96,38.37,38.26
5-Fold,KNN,28.99,0.79,28.9,0.9,31.01,28.99
5-Fold,Random Forest,36.32,1.5,36.16,1.58,36.23,36.32
5-Fold,MLP,36.98,2.46,36.62,2.53,36.78,36.98
10-Fold,SVM (Linear),36.88,2.08,36.87,1.94,37.25,36.88
10-Fold,SVM (RBF),37.95,2.65,37.91,2.59,38.04,37.95
10-Fold,KNN,29.31,1.77,29.11,1.82,31.23,29.31
10-Fold,Random Forest,36.28,2.28,35.88,2.42,35.82,36.28
10-Fold,MLP,36.91,3.08,36.55,3.12,36.79,36.91
LOSO,SVM (Linear),35.73,6.68,33.63,7.26,37.92,35.73
LOSO,SVM (RBF),35.45,6.6,33.69,6.66,36.9,35.45
LOSO,KNN,27.53,4.94,26.18,5.22,28.37,27.53
LOSO,Random Forest,33.96,7.01,31.57,7.74,35.23,33.96
LOSO,MLP,36.11,6.05,33.93,7.04,37.44,36.11
